2023-04-28 07:24:40.339 -05:00 [INF] Now listening on: http://localhost:7175
2023-04-28 07:24:40.447 -05:00 [INF] Now listening on: http://localhost:5046
2023-04-28 07:24:40.454 -05:00 [INF] Application started. Press Ctrl+C to shut down.
2023-04-28 07:24:40.456 -05:00 [INF] Hosting environment: Development
2023-04-28 07:24:40.458 -05:00 [INF] Content root path: C:\Desarrollo\REP_ERP\Integrador.ERP.Api\
2023-04-28 08:06:10.281 -05:00 [WRN] Failed to determine the https port for redirect.
2023-04-28 08:06:23.766 -05:00 [INF] HTTP GET /api/Client/GetClient/794/8/860501007 responded 200 in 13464.9436 ms
2023-04-28 08:12:23.495 -05:00 [INF] HTTP POST /api/JournalEntry/Disbursement/795 responded 200 in 20818.4381 ms
2023-04-28 08:46:20.219 -05:00 [INF] HTTP POST /api/JournalEntry/Disbursement/795 responded 200 in 14058.6092 ms
2023-04-28 09:27:35.630 -05:00 [INF] HTTP POST /api/JournalEntry/Disbursement/795 responded 200 in 15853.8637 ms
2023-04-28 09:28:46.328 -05:00 [INF] HTTP POST /api/JournalEntry/Disbursement/795 responded 200 in 6703.6328 ms
2023-04-28 09:29:07.274 -05:00 [INF] HTTP POST /api/JournalEntry/Disbursement/795 responded 200 in 11420.4904 ms
2023-04-28 09:29:25.892 -05:00 [INF] HTTP POST /api/JournalEntry/Disbursement/795 responded 200 in 6569.4794 ms
2023-04-28 09:29:43.517 -05:00 [INF] HTTP POST /api/JournalEntry/Disbursement/795 responded 200 in 6664.7947 ms
2023-04-28 09:31:21.878 -05:00 [INF] HTTP POST /api/JournalEntry/Disbursement/795 responded 200 in 8854.2859 ms
2023-04-28 09:31:46.015 -05:00 [INF] HTTP POST /api/JournalEntry/Disbursement/795 responded 200 in 11668.7008 ms
2023-04-28 09:33:50.361 -05:00 [INF] HTTP POST /api/JournalEntry/Disbursement/795 responded 200 in 20353.3951 ms
2023-04-28 09:34:56.263 -05:00 [INF] HTTP POST /api/JournalEntry/Disbursement/795 responded 200 in 4140.8593 ms
2023-04-28 09:35:03.232 -05:00 [INF] HTTP POST /api/JournalEntry/Disbursement/795 responded 200 in 3887.7909 ms
2023-04-28 10:16:28.130 -05:00 [INF] HTTP GET /api/Client/GetClient/794/8/860501007 responded 200 in 3191.2122 ms
2023-04-28 10:19:36.739 -05:00 [INF] HTTP GET /api/Client/GetClient/794/8/860501007 responded 200 in 831.6834 ms
2023-04-28 10:22:49.804 -05:00 [INF] HTTP POST /api/JournalEntry/Disbursement/795 responded 200 in 13260.0424 ms
2023-04-28 10:23:03.154 -05:00 [INF] HTTP POST /api/JournalEntry/Disbursement/795 responded 200 in 8500.2216 ms
2023-04-28 10:27:49.117 -05:00 [INF] HTTP POST /api/JournalEntry/Disbursement/795 responded 200 in 7778.8873 ms
2023-04-28 10:28:03.102 -05:00 [INF] HTTP POST /api/JournalEntry/Disbursement/795 responded 200 in 6744.8419 ms
2023-04-28 10:32:13.751 -05:00 [INF] HTTP POST /api/JournalEntry/Disbursement/795 responded 200 in 6028.9268 ms
2023-04-28 10:32:23.000 -05:00 [INF] HTTP POST /api/JournalEntry/Disbursement/795 responded 200 in 5188.3927 ms
